number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
201;М. А. Мойер (Протасова);ж;27 марта 1815;Дерпт;милый друг, сестра, ангел;С этой минуты другая жизнь начнется для меня, милый друг, сестра, ангел, счастье прямое;;15;315;;РО ИРЛИ. Р. I. Оп. 9. № 81. Л. 1. Б. г.;;Соловьев. Т. 2. С. 74—75;автограф
202;М. А. Мойер (Протасова);ж;29—30 марта 1815;Дерпт;Милый друг;Милый друг, надобно сказать тебе что-нибудь в последний раз;;15;316;;неизвестен;неизвестен;"ЖМНП. 1869. Ч. 142. Отд. II. С. 431—432 (с пропусками; публикация К. К. Зейдлица). Полностью: РС. 1883. № 3. С. 671—672 (публикация К. К. Зейдлица), с датировкой: «март 1815 г.»";текст первой публикации
203;М. А. Мойер (Протасова);ж;31 марта 1815;Дерпт;;Расположение, в каком к тебе пишу, уверяет меня, что я не нарушаю своего слова тем, что к тебе пишу;;15;318;;неизвестен;неизвестен;"ЖМНП. 1869. Ч. 142. Отд. II. С. 430—431 (с пропусками; публикация К. К. Зейдлица). Полностью: РС. 1883. № 3. С. 668—670 (публикация К. К. Зейдлица), с датировкой: «март 1815 г.»";текст публикации РС
204;П. А. Вяземский;м;конец марта 1815;Дерпт;Милый друг;Милый друг, я написал множество писем и потому ленюсь к тебе писать;;15;320;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 77. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
205;А. И. Тургенев;м;1 апреля 1815;Дерпт;Милый друг;Милый друг, посылаю тебе мой ответ на милостивый рескрипт ее величества, который тронул меня чрезвычайно;Твой Жуковский;15;321;;РНБ. Оп. 2. № 150. Л. 5—5 об.;;ПЖТ. С. 144;автограф
206;Императрица Мария Федоровна;ж;1 апреля 1815;Дерпт;Всемилостивейшая Государыня;Я имел счастье получить недавно всемилостивейший рескрипт Вашего Императорского Величества;Вашего Императорского Величества верноподданейший Жуковский;15;322;;неизвестен;РНБ. Оп. 2. № 113. Л. 1—1 об.;РС. 1898. № 11. С. 364, с датировкой: «…апреля 1815 г.»;копия
207;С. С. Уваров;м;1 апреля 1815;Дерпт;;Я получил Ваше дружеское письмо и приложенный при нем высочайший рескрипт ее императорского величества;Вам душевно преданный Жуковский;15;323;;неизвестен;РНБ. Оп. 2. № 426. Л. 3, рукой А. И. Тургенева;РА. 1900. Кн. 3. № 9. С. 14—15;копия
208;М. А. Мойер (Протасова);ж;первые числа апреля 1815;Дерпт;Милая Маша;Милая Маша, нам надобно объясниться;;15;323;;неизвестен;неизвестен;"ЖМНП. 1869. Ч. 142. Отд. II. С. 429 (отрывок; публикация К. К. Зейдлица). Полностью: РС. 1883. № 3. С. 666—668 (публикация К. К. Зейдлица), с датой: «весна 1815 г.».. ";текст публикации РС
209;А. И. Тургенев;м;12 апреля 1815;Дерпт;;Посылаю тебе, мой милый друг, свои стихи;Твой Жуковский;15;325;;РНБ. Оп. 2. № 150. Л. 6—6 об. Б. г.;;ПЖТ. С. 144—146.;автограф
210;М. А. Мойер (Протасова);ж;14 апреля 1815;Дерпт;Милый друг;Милый друг, поняла ли ты то чувство, которое меня решило к тебе написать: позволь мне от тебя отказаться и самому найти человека, который бы мог тебя сделать счастливою;;15;327;;1) РО ИРЛИ. № 27813. Л. 1—5 — первая редакция, в самодельной тетради, озаглавленной (л. 1) «Дерпт и Петербург», в виде дневниковой записи, дата: «Апреля 12». Б. г. 2) РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 2—8 об. — вторая редакция, в маленькой самодельной «книжке», без картонной обложки, на л. 1 эпиграф: «Und trennen uns gleich Meer und Land, // Vereinigt uns doch Freundschaftsband, // Und fester knüpft nach kurzer Zeit // Es einst die Ewigkeit!», дата: «Дерпт. Апреля 14-го» и рисунок (зажженный фонарь, воспроизведение: Памяти Жуковского. Вып. 1. С. 186). Б. г.;;"первая редакция: Ж. в семье Протасовых и Воейковых. С. 229 (отрывок); Гофман. С. 110—122 (полностью); вторая редакция: Памяти Жуковского. Вып. 1. С. 187—200.";автограф второй редакции
211;М. А. Мойер (Протасова);ж;15 апреля 1815;Дерпт;;Вчера, в то время, когда ты была у вечерни, я прошел вниз и нашел маменьку одну с Сашею;;15;336;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 8 об. — 9, в маленькой самодельной «книжке» (см. о ней вступительное примечание к письму к М. А. Протасовой от 14 апреля 1815 г.). Б. г.;;Памяти Жуковского. Вып. 1. С. 200—201;автограф
212;М. А. Мойер (Протасова);ж;16 апреля 1815;Дерпт;;Вчера утро было прекрасное;;15;337;;РО ИРЛИ. Р. I. Оп. 9. № 3. Л. 9—10 об., в маленькой самодельной «книжке» (см. о ней вступительное примечание к письму к М. А. Протасовой от 14 апреля 1815 г.);;Памяти Жуковского. Вып. 1. С. 201—206;автограф
213;М. А. Мойер (Протасова);ж;20 апреля 1815;Дерпт;;20 <апреля>. Мне не дóлжно оставаться в Дерпте — это будет и моею, и Машиною погибелью;;15;340;;1) РО ИРЛИ. Ф. 244. № 27813. Л. 5—7 об. — первая редакция, запись в дневнике, дата: «20 апреля». 2) РО ИРЛИ. № 27810. Л. 111—115 об. — вторая редакция, письмо от 20 апреля 1815 г.;;"первая редакция: Ж. в семье Протасовых и Воейковых. С. 233 (отрывок); Гофман. С. 123—131; вторая редакция (цитаты): Ж. в семье Протасовых и Воейковых. С. 233, 235; Гофман. С. 70.";автограф первой редакции
